date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,compression,31483.15,33305937974,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,context_switch,2365.08,,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,decompression,76313.55,13740364830,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,deserialization_fast,52.45,2974049433,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,deserialization,229.03,624368781,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,hash_crypto,225.90,283313109,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,hash_non_crypto,25.11,2548890897,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,hash_siphash,18.72,3418362417,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,mem_random_rw,60861033.13,17642517202,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,seq_mem_read_single,42297335.43,101542266256,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,seq_mem_read_threaded,18366658.88,233845868397,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,serialization_fast,31.62,4933577428,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,serialization,325.69,439067893,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,sort_64bit,,1137916844,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_read_random,140856.80,58158357,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_read_seq,705.02,11619508215,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_write_fsync,4126260.76,1985333,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_write_no_fsync,3695.69,2216639121,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,syscall,17.12,,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,tcp_echo,20816.08,1574167964,
